0 5812 5775 0.6 0.9 3038 4470 NaN 3856 NaN 5629 37 2185 NaN NaN
1 3695 3658 0.4 1.0 37 2526 NaN NaN NaN 923 NaN 480 NaN NaN
1 4101 4064 0.2 1.0 5152 NaN NaN NaN NaN 37 NaN NaN NaN NaN
1 6348 5493 0.5 1.0 NaN 1810 3890 1435 855 889 NaN NaN NaN NaN
0 5229 1816 0.2 0.6 NaN 4231 3413 NaN NaN NaN NaN NaN NaN NaN
1 2433 2328 0.4 1.0 344 NaN NaN NaN 105 NaN NaN 7334 4845 NaN
0 7198 6854 0.4 0.9 NaN NaN NaN NaN NaN 7198 4197 NaN 344 2424
1 2306 2269 0.5 1.0 37 7334 1708 NaN NaN NaN 37 NaN NaN 6550
0 0.0 -1e+100 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1 3115 3078 0.6 1.0 NaN 992 NaN 37 6789 NaN 4674 NaN 37 37
0 6761 6724 0.3 0.9 NaN 37 NaN NaN NaN NaN 6993 NaN NaN 241
1 7068 7031 0.5 1.0 NaN 2015 NaN NaN NaN 173 1912 37 NaN 412
0 6928 6209 0.7 0.8 3038 4026 7368 NaN 4095 NaN 3856 719 NaN 2697
1 3630 3593 0.6 1.0 1298 2867 NaN NaN 37 NaN 1298 548 NaN 241
0 3251 3214 0.6 0.9 207 NaN 1264 1401 37 NaN NaN 275 37 NaN
1 5403 5366 0.5 1.0 NaN 1401 37 NaN NaN NaN 37 6107 NaN 275
1 3487 2768 0.4 1.0 NaN NaN 4743 NaN NaN 1708 NaN 3003 719 NaN
1 5394 5357 0.4 1.0 NaN NaN NaN 7061 NaN NaN NaN 310 1435 37
0 4033 3928 0.3 0.7 923 NaN NaN NaN NaN NaN 6345 NaN 105 NaN
1 7173 7136 0.5 1.0 37 NaN NaN NaN 173 37 NaN 5152 5015 NaN
1 2941 2904 0.2 1.0 NaN NaN NaN 6107 NaN NaN NaN NaN 37 NaN
0 7033 6417 0.3 0.7 NaN NaN NaN NaN 1333 NaN NaN 616 NaN 2867
1 3865 3624 0.5 1.0 2799 NaN NaN 889 NaN 480 787 NaN NaN 241
1 6798 6761 0.4 1.0 NaN 5356 37 NaN 37 NaN NaN NaN NaN 1639
1 7201 6278 0.5 1.0 NaN 5186 NaN 3685 NaN NaN 5766 NaN 923 5800
1 1181 1144 0.7 1.0 NaN 992 207 NaN NaN 1605 1742 37 37 1571
