1 4482 4241 0.35 1.0 NaN NaN 446 NaN NaN 2697 NaN 5731 NaN NaN NaN NaN NaN NaN NaN 2731 6379 NaN 3310 241
1 4646 4609 0.3 1.0 NaN NaN 7095 1162 37 NaN NaN NaN NaN NaN NaN NaN NaN 1298 NaN 139 2219 NaN NaN NaN
1 1540 1503 0.6 1.0 71 NaN 37 7061 NaN 4572 2526 37 344 2697 NaN 7266 37 NaN NaN NaN NaN 4470 4061 NaN
1 3887 3850 0.5 1.0 NaN NaN 37 NaN NaN NaN NaN NaN 37 5118 37 6311 2151 NaN NaN 1980 4981 NaN 3379 37
1 6020 3801 0.1 1.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 2219 NaN 3890
1 1016 979 0.5 1.0 139 NaN NaN NaN NaN NaN NaN NaN 37 3515 5459 NaN NaN NaN 37 37 2765 4674 173 37
1 4907 4870 0.5 1.0 7164 4504 NaN NaN NaN 3754 37 37 NaN 889 4913 NaN NaN 992 NaN 3856 NaN 3140 NaN NaN
0 7099 6619 0.25 0.95 NaN NaN NaN 4129 NaN NaN 480 NaN NaN 3379 NaN NaN NaN 1571 NaN NaN NaN NaN NaN 1196
1 716 679 0.5 1.0 NaN 37 NaN 37 NaN 37 NaN 1097 5663 NaN 616 NaN NaN NaN NaN 37 NaN 37 651 37
1 1426 1253 0.25 1.0 NaN 2117 NaN NaN NaN 3174 1128 NaN NaN 173 NaN NaN NaN NaN NaN NaN NaN NaN NaN 6482
0 7136 7099 0.2 0.95 NaN NaN 4947 NaN NaN 1742 NaN 821 NaN NaN NaN NaN NaN NaN NaN NaN NaN 37 NaN NaN
1 3422 3385 0.65 1.0 4197 37 NaN 5459 NaN NaN NaN 2015 310 173 NaN 5425 NaN 241 NaN 1674 2390 6720 37 480
1 5406 5369 0.35 1.0 NaN 310 NaN NaN 6038 4879 1605 NaN NaN 923 NaN NaN 378 NaN NaN 37 NaN NaN NaN NaN
1 4082 4045 0.2 1.0 NaN NaN 3788 NaN 37 NaN NaN NaN NaN NaN NaN NaN NaN 3208 NaN NaN NaN 5152 NaN NaN
1 3121 3084 0.5 1.0 548 NaN 548 NaN NaN 6584 37 NaN NaN 855 NaN NaN 1742 NaN 37 207 NaN 923 3549 NaN
1 390 353 0.5 1.0 37 NaN 5970 NaN NaN NaN NaN NaN 37 NaN NaN 5152 4947 71 548 37 NaN 2356 NaN 6516
1 4885 4848 0.5 1.0 787 37 7300 NaN NaN NaN 7061 NaN 1060 275 NaN 3413 NaN NaN 4674 139 NaN NaN NaN 37
0 7440 5562 0.2 0.9 NaN NaN NaN NaN NaN NaN NaN 5220 NaN NaN NaN 2935 NaN NaN NaN NaN NaN 1878 3617 NaN
1 895 858 0.65 1.0 37 3958 NaN 37 NaN 923 NaN 37 37 651 37 6754 2697 NaN 4231 1844 NaN NaN 71 NaN
1 3242 3205 0.25 1.0 NaN NaN NaN NaN 37 6379 1435 NaN 37 NaN NaN NaN NaN NaN NaN 1026 NaN NaN NaN NaN
1 3019 2982 0.45 1.0 2049 NaN NaN NaN 310 5084 2219 NaN NaN NaN NaN 37 NaN 1162 NaN NaN NaN 37 6072 2049
1 2002 1965 0.65 1.0 37 37 NaN NaN 71 821 37 344 651 480 5425 NaN 1776 37 NaN 173 NaN NaN 71 NaN
1 2325 2288 0.6 1.0 4674 685 NaN 37 4981 37 NaN NaN NaN 241 NaN NaN 2560 NaN NaN 37 582 4811 1026 139
1 6630 6593 0.3 1.0 NaN NaN 6209 6175 NaN NaN 5834 NaN NaN 37 NaN NaN NaN NaN NaN 4367 NaN NaN NaN 3515
1 1953 1916 0.5 1.0 3856 NaN NaN NaN 1677 37 NaN 4402 NaN NaN 4299 NaN 6584 37 NaN 1298 NaN 2015 NaN 6550
1 2697 2660 0.65 1.0 NaN 105 344 207 NaN 37 5390 NaN 37 NaN 6413 6516 NaN 4674 378 1094 NaN NaN 4299 1264
0 6823 6445 0.55 0.95 6959 4708 6686 NaN 446 NaN NaN 5800 6823 NaN NaN 753 2935 NaN NaN 378 719 4947 NaN NaN
1 1029 992 0.4 1.0 241 NaN 37 NaN 753 NaN NaN NaN 548 3413 NaN NaN NaN NaN 2219 1946 139 NaN NaN NaN
1 5031 4824 0.35 1.0 NaN NaN NaN 1503 NaN 207 NaN NaN NaN NaN 2151 1333 NaN NaN 3242 NaN NaN NaN 6175 582
1 4036 3215 0.2 1.0 821 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5561 NaN 4265 6004 NaN NaN NaN NaN NaN
1 1221 980 0.3 1.0 241 7027 NaN NaN NaN NaN NaN NaN 889 7095 NaN NaN NaN NaN NaN NaN NaN 1878 NaN 855
0 5567 4166 0.2 0.45 NaN NaN NaN NaN NaN NaN NaN 2287 NaN NaN NaN NaN 1401 4333 4299 NaN NaN NaN NaN NaN
1 4836 4151 0.5 1.0 821 NaN NaN NaN 1435 685 1094 NaN NaN 2185 2185 1776 NaN 3754 1639 NaN NaN 5049 NaN NaN
1 1491 1454 0.55 1.0 37 NaN 105 2731 NaN NaN 207 NaN NaN NaN 7232 NaN 5970 5118 NaN 1469 1128 37 1094 NaN
1 6147 5769 0.55 1.0 6550 NaN 5697 NaN NaN NaN NaN NaN 1878 3685 NaN 5766 NaN 6686 1196 NaN 5629 3208 1094 378
1 2616 2579 0.1 1.0 NaN NaN NaN 446 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 37 NaN NaN NaN NaN NaN
1 3258 3221 0.6 1.0 4026 NaN 2185 NaN NaN 5731 NaN NaN NaN 207 37 2560 173 412 NaN 1401 3106 NaN 1435 37
